"categoria","subcategoria","nombre","color","url","talla","precio","descripcion"
"zapatos","Botín"," Med","NEGRO","https://latiendadevalentina.com/low-cost/botin-med-negro/#/8-talla-36","8-talla-36","21,49 €","Botín efecto piel tipo campero de caña por el tobillo. Detalle de aperturas en los laterales. Tacón medio. "
"zapatos","Deportivo"," Avi","ROSA","https://latiendadevalentina.com/low-cost/deportivo-avi-rosa/#/8-talla-36","8-talla-36","10,49 €","Deportivos tipo bamba de efecto piel grabado con dibujo geométrico. Puntera  y talonera en material efecto espejo.  "
"zapatos","Deportivo"," Avi","BLANCO","https://latiendadevalentina.com/low-cost/deportivo-avi-blanco/#/8-talla-36","8-talla-36","10,49 €","Deportivos tipo bamba de efecto piel grabado con dibujo geométrico. Puntera  y talonera en material efecto espejo. "
"zapatos","Deportivo"," Lina","MOSTAZA","https://latiendadevalentina.com/low-cost/deportivo-lina-mostaza/#/8-talla-36","8-talla-36","11,00 €","Deportivo tipo bamba de antelina con detalle de picado en los laterales. Cordones a tono. Suela y talonera en contraste blanco. "
"zapatos","Deportivo"," Lina","ROSA","https://latiendadevalentina.com/low-cost/deportivo-lina-rosa/#/8-talla-36","8-talla-36","11,00 €","Deportivo tipo bamba de antelina con detalle de picado en los laterales. Cordones a tono. Suela y talonera en contraste blanco. "
"zapatos","Deportivo"," Lina","BEIGE","https://latiendadevalentina.com/low-cost/deportivo-lina-beige/#/8-talla-36","8-talla-36","11,00 €","Deportivo tipo bamba de antelina con detalle de picado en los laterales. Cordones a tono. Suela y talonera en contraste blanco. "
"zapatos","Deportivo"," Bent Leo","NEGRO","https://latiendadevalentina.com/low-cost/deportivo-bent-leo-negro/#/8-talla-36","8-talla-36","16,50 €","Deportivo tipo sneaker combinado de efecto piel con print animal y efecto espejo. Cordones a tono. Suelo bicolor. "
"zapatos","Deportivo"," Bent Leo","BLANCO","https://latiendadevalentina.com/low-cost/deportivo-bent-leo-blanco/#/8-talla-36","8-talla-36","16,50 €","Deportivo tipo sneaker combinado de efecto piel con print animal y efecto espejo. Cordones a tono. Suelo bicolor. "
"zapatos","Deportivo"," Shorba","N/A","https://latiendadevalentina.com/low-cost/deportivo-shorba/#/8-talla-36","8-talla-36","4,50 €","Deportivo tipo sneaker de tejido de punto con dibujo de rejilla.  "
"zapatos","Botín"," Joe","NEGRO","https://latiendadevalentina.com/low-cost/botin-joe-negro/#/8-talla-36","8-talla-36","14,50 €","Botín de tacón efecto serraje troquelado con dibujo geométrico. Tobillo descubierto con cierre de hebilla. "
"zapatos","Botín"," Joe","KAKI","https://latiendadevalentina.com/low-cost/botin-joe-kaki/#/8-talla-36","8-talla-36","14,50 €","Botín de tacón efecto serraje troquelado con dibujo geométrico. Tobillo descubierto con cierre de hebilla. "
"zapatos","Botín"," Joe","CAMEL","https://latiendadevalentina.com/low-cost/botin-joe-camel/#/8-talla-36","8-talla-36","14,50 €","Botín de tacón efecto serraje troquelado con dibujo geométrico. Tobillo descubierto con cierre de hebilla. "
"zapatos","Botín"," Rose","NEGRO","https://latiendadevalentina.com/low-cost/botin-rose-negro/#/8-talla-36","8-talla-36","13,99 €","Botín tipo campero de tacón medio de efecto serraje troquelado con dibujo geométrico y cossturas decorativas al tono. Abertura en la zona del tobillo. "
"zapatos","Deportivo"," Moraba...","N/A","https://latiendadevalentina.com/low-cost/deportivo-moraba-leo-rojo-blanco/#/8-talla-36","8-talla-36","13,99 €","Deportivo tipo sneakers combinada con varios texturas y colores. Suela bicolor. Cierre con cordón. "
"zapatos","Deportivo"," Moraba...","N/A","https://latiendadevalentina.com/low-cost/deportivo-moraba-blanco-serp-marron/#/8-talla-36","8-talla-36","13,99 €","Deportivo tipo sneakers combinada con varios texturas y colores. Suela bicolor. Cierre con cordón. "
"zapatos","Deportivo"," Moraba...","N/A","https://latiendadevalentina.com/low-cost/deportivo-moraba-most-nude-gris/#/8-talla-36","8-talla-36","13,99 €","Deportivo tipo sneakers combinada con varios texturas y colores. Suela bicolor. Cierre con cordón. "
"zapatos","Botín"," Western","ROSA","https://latiendadevalentina.com/low-cost/botin-western-rosa/#/8-talla-36","8-talla-36","14,99 €","Botin tipo campero de efecto serraje con detalle de grabados y calados en la caña. "
"zapatos","Botín"," Western","NEGRO","https://latiendadevalentina.com/low-cost/botin-western-negro/#/8-talla-36","8-talla-36","14,99 €","Botin tipo campero de efecto serraje con detalle de grabados y calados en la caña Sintetico"
"zapatos","Deportivo"," Bakari","NEGRO","https://latiendadevalentina.com/low-cost/deportivo-bakari-negro/#/8-talla-36","8-talla-36","12,50 €","Deportivos color oro rosa. Cierre mediante cordones. Sintetico"
"zapatos","Deportivo"," Bakari","ROSA-ORO","https://latiendadevalentina.com/low-cost/deportivo-bakari-oro-rosa/#/8-talla-36","8-talla-36","6,25 €","Deportivos color oro rosa. Cierre mediante cordones.
 Sintetico"
"zapatos","Deportivo"," Clap","NEGRO","https://latiendadevalentina.com/low-cost/deportivo-clap-negro/#/8-talla-36","8-talla-36","22,99 €","Deportivo tricolor que combina diferentes materiales y texturas. Cierre con cordones."
"zapatos","Deportivo"," Clap","NUDE","https://latiendadevalentina.com/low-cost/deportivo-clap-nude/#/8-talla-36","8-talla-36","22,99 €","Deportivo tricolor que combina diferentes materiales y texturas. Cierre con cordones."
"zapatos","Botín"," Militar Iron","NEGRO","https://latiendadevalentina.com/low-cost/botin-militar-iron-negro/#/8-talla-36","8-talla-36","17,99 €","Botín de estilo militar con detalle de cordones y plataforma. Cierre con cremallera interior. "
"zapatos","Deportivo"," Cover Leo","NEGRO","https://latiendadevalentina.com/low-cost/deportivo-cover-leo-negro/#/8-talla-36","8-talla-36","5,75 €","Deportivo de leopardo con detalles en negro. Cierre con cordones. "
"zapatos","Botín"," Plano Remaches Ule","CAMEL","https://latiendadevalentina.com/low-cost/botin-plano-remaches-ule-camel/#/8-talla-36","8-talla-36","12,99 €","Botín plano con detalle de remaches y cierre con cremallera lateral. "
"zapatos","Botín"," Plano Remaches Ule","NEGRO","https://latiendadevalentina.com/low-cost/botin-plano-remaches-ule-negro/#/8-talla-36","8-talla-36","12,99 €","Botín plano con detalle de remaches y cierre con cremallera lateral. "
"zapatos","Botín"," Plano Remaches Ule...","N/A","https://latiendadevalentina.com/low-cost/botin-plano-remaches-ule-burdeos/#/8-talla-36","8-talla-36","12,99 €","Botín plano con detalle de remaches y cierre con cremallera lateral. "
"zapatos","Deportivo"," Oni Efecto...","N/A","https://latiendadevalentina.com/low-cost/deportivo-oni-efecto-serraje-gris/#/8-talla-36","8-talla-36","11,00 €","Deportivo que combina diferentes texturas y materiales en el mismo tono. Cierre con cordones. "
"zapatos","Botín"," Tacón Hebilla Austin...","N/A","https://latiendadevalentina.com/low-cost/botin-tacon-hebilla-austin-negro/#","#","12,50 €","Botín de tacón medio con detalle de hebilla tipo cinturón. "
"zapatos","Botín"," Tacón Hebilla Austin...","N/A","https://latiendadevalentina.com/low-cost/botin-tacon-hebilla-austin-burdeos/#/39-talla-35","39-talla-35","12,50 €","Botín de tacón medio con detalle de hebilla tipo cinturón. "
"zapatos","Deportivo"," Oni Efecto...","N/A","https://latiendadevalentina.com/low-cost/deportivo-oni-efecto-serraje-beige/#/8-talla-36","8-talla-36","11,00 €","Deportivo que combina diferentes texturas y materiales en el mismo tono. Cierre con cordones. "
"zapatos","Deportivo"," Oni Efecto...","N/A","https://latiendadevalentina.com/low-cost/deportivo-oni-efecto-serraje-marino/#/8-talla-36","8-talla-36","11,00 €","Deportivo que combina diferentes texturas y materiales en el mismo tono. Cierre con cordones. "
